STATEFP,homeless_per_10000,COUNTYFP
02,26.07,013
02,26.07,016
02,26.07,020
02,26.07,050
02,26.07,060
02,26.07,068
02,26.07,070
02,26.07,090
02,26.07,100
02,26.07,105
02,26.07,110
02,26.07,122
02,26.07,130
02,26.07,150
02,26.07,158
02,26.07,164
02,26.07,170
02,26.07,180
02,26.07,185
02,26.07,188
02,26.07,195
02,26.07,198
02,26.07,220
02,26.07,230
02,26.07,240
02,26.07,261
02,26.07,275
02,26.07,282
02,26.07,290
01,6.65,001
01,6.65,003
01,6.65,005
01,6.65,007
01,6.65,009
01,6.65,011
01,6.65,013
01,6.65,015
01,6.65,017
01,6.65,019
01,6.65,021
01,6.65,023
01,6.65,025
01,6.65,027
01,6.65,029
01,6.65,031
01,6.65,033
01,6.65,035
01,6.65,037
01,6.65,039
01,6.65,041
01,6.65,043
01,6.65,045
01,6.65,047
01,6.65,049
01,6.65,051
01,6.65,053
01,6.65,055
01,6.65,057
01,6.65,059
01,6.65,061
01,6.65,063
01,6.65,065
01,6.65,067
01,6.65,069
01,6.65,071
01,6.65,073
01,6.65,075
01,6.65,077
01,6.65,079
01,6.65,081
01,6.65,083
01,6.65,085
01,6.65,087
01,6.65,089
01,6.65,091
01,6.65,093
01,6.65,095
01,6.65,097
01,6.65,099
01,6.65,101
01,6.65,103
01,6.65,105
01,6.65,107
01,6.65,109
01,6.65,111
01,6.65,113
01,6.65,115
01,6.65,117
01,6.65,119
01,6.65,121
01,6.65,123
01,6.65,125
01,6.65,127
01,6.65,129
01,6.65,131
01,6.65,133
05,9.0,001
05,9.0,003
05,9.0,005
05,9.0,007
05,9.0,009
05,9.0,011
05,9.0,013
05,9.0,015
05,9.0,017
05,9.0,019
05,9.0,021
05,9.0,023
05,9.0,025
05,9.0,027
05,9.0,029
05,9.0,031
05,9.0,033
05,9.0,035
05,9.0,037
05,9.0,039
05,9.0,041
05,9.0,043
05,9.0,045
05,9.0,047
05,9.0,049
05,9.0,051
05,9.0,053
05,9.0,055
05,9.0,057
05,9.0,059
05,9.0,061
05,9.0,063
05,9.0,065
05,9.0,067
05,9.0,069
05,9.0,071
05,9.0,073
05,9.0,075
05,9.0,077
05,9.0,079
05,9.0,081
05,9.0,083
05,9.0,085
05,9.0,087
05,9.0,089
05,9.0,091
05,9.0,093
05,9.0,095
05,9.0,097
05,9.0,099
05,9.0,101
05,9.0,103
05,9.0,105
05,9.0,107
05,9.0,109
05,9.0,111
05,9.0,113
05,9.0,115
05,9.0,117
05,9.0,119
05,9.0,121
05,9.0,123
05,9.0,125
05,9.0,127
05,9.0,129
05,9.0,131
05,9.0,133
05,9.0,135
05,9.0,137
05,9.0,139
05,9.0,141
05,9.0,143
05,9.0,145
05,9.0,147
05,9.0,149
04,13.75,001
04,13.75,003
04,13.75,005
04,13.75,007
04,13.75,009
04,13.75,011
04,13.75,012
04,13.75,013
04,13.75,015
04,13.75,017
04,13.75,019
04,13.75,021
04,13.75,023
04,13.75,025
04,13.75,027
06,38.29,001
06,38.29,003
06,38.29,005
06,38.29,007
06,38.29,009
06,38.29,011
06,38.29,013
06,38.29,015
06,38.29,017
06,38.29,019
06,38.29,021
06,38.29,023
06,38.29,025
06,38.29,027
06,38.29,029
06,38.29,031
06,38.29,033
06,38.29,035
06,38.29,037
06,38.29,039
06,38.29,041
06,38.29,043
06,38.29,045
06,38.29,047
06,38.29,049
06,38.29,051
06,38.29,053
06,38.29,055
06,38.29,057
06,38.29,059
06,38.29,061
06,38.29,063
06,38.29,065
06,38.29,067
06,38.29,069
06,38.29,071
06,38.29,073
06,38.29,075
06,38.29,077
06,38.29,079
06,38.29,081
06,38.29,083
06,38.29,085
06,38.29,087
06,38.29,089
06,38.29,091
06,38.29,093
06,38.29,095
06,38.29,097
06,38.29,099
06,38.29,101
06,38.29,103
06,38.29,105
06,38.29,107
06,38.29,109
06,38.29,111
06,38.29,113
06,38.29,115
08,16.7,001
08,16.7,003
08,16.7,005
08,16.7,007
08,16.7,009
08,16.7,011
08,16.7,013
08,16.7,014
08,16.7,015
08,16.7,017
08,16.7,019
08,16.7,021
08,16.7,023
08,16.7,025
08,16.7,027
08,16.7,029
08,16.7,031
08,16.7,033
08,16.7,035
08,16.7,037
08,16.7,039
08,16.7,041
08,16.7,043
08,16.7,045
08,16.7,047
08,16.7,049
08,16.7,051
08,16.7,053
08,16.7,055
08,16.7,057
08,16.7,059
08,16.7,061
08,16.7,063
08,16.7,065
08,16.7,067
08,16.7,069
08,16.7,071
08,16.7,073
08,16.7,075
08,16.7,077
08,16.7,079
08,16.7,081
08,16.7,083
08,16.7,085
08,16.7,087
08,16.7,089
08,16.7,091
08,16.7,093
08,16.7,095
08,16.7,097
08,16.7,099
08,16.7,101
08,16.7,103
08,16.7,105
08,16.7,107
08,16.7,109
08,16.7,111
