deaths_0-5_circ,deaths_25+_circ,deaths_5-25_circ,Population_0-5,Population_25+,Population_5-25,mort_0-5_circ,mort_25+_circ,mort_5-25_circ,STATEFP,COUNTYFP,deaths_0-5_resp,deaths_25+_resp,deaths_5-25_resp,mort_0-5_resp,mort_25+_resp,mort_5-25_resp,deaths_0-5_all,deaths_25+_all,deaths_5-25_all,mort_0-5_all,mort_25+_all,mort_5-25_all,deaths_0-5_circ_est,deaths_25+_circ_est,deaths_5-25_circ_est,mort_0-5_circ_est,mort_25+_circ_est,mort_5-25_circ_est,deaths_0-5_resp_est,deaths_25+_resp_est,deaths_5-25_resp_est,mort_0-5_resp_est,mort_25+_resp_est,mort_5-25_resp_est,deaths_0-5_all_est,deaths_25+_all_est,deaths_5-25_all_est,mort_0-5_all_est,mort_25+_all_est,mort_5-25_all_est
,157.0,,3191.0,37332.0,14893.0,,4.21,,1,1,,46.0,,,1.23,,,510.0,,,13.66,,,157.0,,0.04,4.21,0.02,,46.0,,0.05,1.23,0.01,,510.0,,2.37,13.66,0.71
,631.0,,11660.0,147731.0,49172.0,,4.27,,1,3,,173.0,,,1.17,,11.0,1933.0,23.0,0.94,13.08,0.47,,631.0,,0.04,4.27,0.02,,173.0,,0.05,1.17,0.01,11.0,1933.0,23.0,1.2,13.08,0.47
,81.0,,1352.0,18326.0,6287.0,,4.42,,1,5,,,,,,,,235.0,,,12.82,,,81.0,,0.04,4.42,0.02,,,,0.05,4.22,0.01,,235.0,,2.37,12.82,0.71
,73.0,,1274.0,16121.0,5248.0,,4.53,,1,7,,13.0,,,0.81,,,224.0,,,13.89,,,73.0,,0.04,4.53,0.02,,13.0,,0.05,0.7,0.01,,224.0,,2.37,13.89,0.71
,184.0,,3353.0,39867.0,14484.0,,4.62,,1,9,,103.0,,,2.58,,,675.0,,,16.93,,,184.0,,0.04,4.62,0.02,,103.0,,0.05,2.58,0.01,,675.0,,2.37,16.93,0.71
,10.0,,602.0,7276.0,2484.0,,1.37,,1,11,,,,,,,,112.0,,,15.39,,,10.0,,0.04,1.94,0.02,,,,0.05,4.22,0.01,,112.0,,2.37,15.39,0.71
,95.0,,1195.0,13679.0,5124.0,,6.94,,1,13,,,,,,,,249.0,,,18.2,,,95.0,,0.04,6.94,0.02,,,,0.05,4.22,0.01,,249.0,,2.37,18.2,0.71
,516.0,,6420.0,79198.0,28993.0,,6.52,,1,15,,154.0,,,1.94,,17.0,1366.0,13.0,2.65,17.25,0.45,,516.0,,0.04,6.52,0.02,,154.0,,0.05,1.94,0.01,17.0,1366.0,13.0,1.2,17.25,0.29
,131.0,,2048.0,23842.0,7953.0,,5.49,,1,17,,16.0,,,0.67,,,444.0,,,18.62,,,131.0,,0.04,5.49,0.02,,16.0,,0.05,0.7,0.01,,444.0,,2.37,18.62,0.71
,100.0,,1185.0,18814.0,5726.0,,5.32,,1,19,,13.0,,,0.69,,,345.0,,,18.34,,,100.0,,0.04,5.32,0.02,,13.0,,0.05,0.7,0.01,,345.0,,2.37,18.34,0.71
