STATEFP,COUNTYFP,Ecmi_00_19,Ecmi_80_19,Ecmi_80_99,Edef_00_19,Edef_80_19,Edef_80_99,Edry_00_19,Edry_80_19,Edry_80_99,Egw_00_19,Egw_80_19,Egw_80_99,Eht_00_19,Eht_80_19,Eht_80_99,Epet_00_19,Epet_80_19,Epet_80_99,Eprc_00_19,Eprc_80_19,Eprc_80_99,Ero_00_19,Ero_80_19,Ero_80_99,Ewet_00_19,Ewet_80_19,Ewet_80_99,Mcmi_00_19,Mcmi_80_19,Mcmi_80_99,Mdef_00_19,Mdef_80_19,Mdef_80_99,Mdry_00_19,Mdry_80_19,Mdry_80_99,Mgw_00_19,Mgw_80_19,Mgw_80_99,Mht_00_19,Mht_80_19,Mht_80_99,Mpet_00_19,Mpet_80_19,Mpet_80_99,Mprc_00_19,Mprc_80_19,Mprc_80_99,Mro_00_19,Mro_80_19,Mro_80_99,Mwet_00_19,Mwet_80_19,Mwet_80_99,Ncmi_00_19,Ncmi_80_19,Ncmi_80_99,Ndef_00_19,Ndef_80_19,Ndef_80_99,Ndry_00_19,Ndry_80_19,Ndry_80_99,Ngw_00_19,Ngw_80_19,Ngw_80_99,Nht_00_19,Nht_80_19,Nht_80_99,Npet_00_19,Npet_80_19,Npet_80_99,Nprc_00_19,Nprc_80_19,Nprc_80_99,Nro_00_19,Nro_80_19,Nro_80_99,Nwet_00_19,Nwet_80_19,Nwet_80_99,WS_ERA2015,WS_EQI
29,227,0.43,1.06,1.64,-42.76,-110.07,-177.38,210.18,202.11,180.94,15.23,17.42,19.23,28.9,28.9,28.19,949.61,924.96,900.31,992.37,1035.03,1077.69,411.42,452.06,492.7,124.7,161.71,191.98,-1.37,-1.1,-0.83,142.01,112.79,83.57,134.16,134.16,125.64,8.73,9.78,9.2,30.08,30.08,29.76,1036.46,1021.89,1007.32,894.45,909.1,923.75,312.01,328.11,344.21,122.72,134.02,140.94,-0.57,-0.41,-0.23,60.58,42.27,23.95,158.93,157.34,128.26,11.44,11.47,11.47,31.04,31.04,30.35,1017.05,982.6,948.15,956.47,940.33,940.33,364.07,369.17,374.26,133.1,138.24,151.35,0.0,0.81
31,061,-3.66,-3.25,-2.82,409.76,356.24,302.71,96.59,98.2,99.77,5.84,9.23,11.57,28.63,28.63,28.37,1118.63,1096.04,1073.44,708.87,739.8,770.73,197.83,224.36,250.89,100.0,109.0,127.62,-4.6,-4.61,-4.61,549.1,545.59,542.09,45.66,54.06,57.69,2.32,3.18,3.05,30.2,30.2,29.08,1193.55,1184.39,1175.24,644.45,638.8,633.16,138.84,141.14,143.45,79.46,73.91,68.71,-4.14,-4.17,-4.21,499.56,489.7,479.83,62.61,62.02,62.54,3.84,4.57,4.66,31.51,31.6,31.42,1203.96,1171.02,1138.09,704.39,681.33,681.33,167.26,170.49,173.72,79.05,81.13,83.32,0.28,0.72
36,013,6.31,6.25,6.19,-882.66,-875.29,-867.92,747.8,729.44,713.04,58.32,56.35,53.97,23.9,23.9,23.37,516.78,525.35,533.93,1399.44,1400.64,1401.84,960.71,958.5,956.29,169.64,170.16,173.86,4.75,4.55,4.34,-449.89,-421.04,-392.19,397.58,344.3,333.32,29.96,30.39,28.69,24.7,24.7,23.06,500.99,506.26,511.53,950.87,927.3,903.73,560.45,540.06,519.67,108.58,113.19,114.12,3.27,3.64,3.99,-326.48,-374.01,-421.54,376.98,398.54,418.81,22.98,26.84,29.59,25.09,25.09,24.23,668.89,648.91,628.93,995.37,1022.92,1022.92,531.37,566.94,602.52,121.77,128.05,135.43,0.08,-1.37
37,181,0.79,0.94,1.08,-87.62,-105.24,-122.86,245.4,286.9,313.1,24.17,22.39,20.31,28.06,28.06,27.74,1017.44,1016.21,1014.98,1105.06,1121.45,1137.84,467.82,490.4,512.97,122.02,143.0,161.87,-0.35,-0.34,-0.33,41.64,40.64,39.64,257.37,262.26,269.93,23.16,21.55,18.5,28.53,28.84,28.84,1184.37,1182.16,1179.95,1142.73,1141.52,1140.31,438.45,454.28,470.12,132.02,135.98,138.66,0.53,0.74,0.95,-58.44,-81.74,-105.03,265.74,279.2,284.22,22.57,21.61,19.59,28.69,28.89,28.89,1053.13,1025.0,996.86,1111.57,1106.73,1106.73,448.87,466.94,485.02,126.23,129.48,134.7,0.03,0.86
47,183,1.83,1.93,2.03,-234.68,-249.81,-264.94,362.58,395.16,424.3,14.84,15.65,16.46,30.34,30.34,29.51,1049.98,1044.68,1039.38,1284.66,1294.49,1304.32,644.43,642.89,641.35,185.53,204.19,216.9,1.44,1.41,1.38,-181.92,-177.97,-174.03,322.11,346.45,359.58,13.61,12.01,10.42,30.77,30.77,29.72,1082.62,1085.1,1087.59,1264.53,1263.08,1261.62,607.74,603.93,600.12,180.92,204.66,212.82,1.52,1.98,2.44,-187.45,-247.83,-308.21,315.77,363.78,372.45,17.54,16.18,14.8,31.68,31.68,29.49,1046.5,1000.62,954.74,1233.95,1248.45,1248.45,593.8,616.91,640.02,181.65,192.14,205.79,0.01,-0.1
44,003,3.43,3.19,2.93,-408.14,-370.44,-332.74,438.06,437.71,421.22,25.92,23.33,19.2,25.0,25.0,24.63,782.51,792.19,801.86,1190.65,1162.63,1134.6,665.0,642.98,620.96,171.89,164.74,155.24,2.54,2.63,2.71,-302.62,-315.7,-328.77,358.69,389.95,473.92,22.48,22.22,21.51,24.15,24.7,24.7,890.67,886.93,883.19,1193.3,1202.63,1211.97,631.38,652.14,672.91,168.26,171.46,179.99,3.52,3.48,3.44,-405.77,-394.82,-383.88,436.82,469.25,490.78,20.89,19.84,18.78,24.67,24.67,24.28,744.08,737.07,730.06,1149.85,1131.9,1131.9,668.11,668.41,668.71,163.26,184.87,186.65,0.01,1.23
08,101,-7.03,-6.4,-5.71,960.9,840.57,720.24,10.2,20.13,46.27,1.36,2.41,3.11,28.91,28.91,27.37,1355.63,1299.5,1243.38,394.74,458.93,523.13,50.31,74.73,99.15,24.2,38.47,50.27,-7.21,-7.0,-6.79,984.02,933.91,883.81,8.41,14.38,18.21,0.61,1.1,1.18,28.49,28.49,28.28,1361.53,1330.55,1299.58,377.51,396.64,415.77,35.28,39.51,43.74,19.29,20.32,21.76,-7.13,-6.96,-6.78,897.42,846.47,795.53,6.27,11.13,19.71,0.58,0.99,0.95,30.47,30.47,29.8,1251.46,1208.73,1166.0,354.04,362.26,362.26,40.14,43.63,47.13,23.19,26.59,27.96,0.51,0.8
17,175,1.22,1.5,1.77,-123.25,-153.63,-184.01,233.49,249.13,282.28,20.31,27.36,32.04,28.05,28.05,26.7,884.89,871.38,857.88,1008.13,1025.01,1041.89,452.34,471.6,490.86,135.92,138.12,158.16,-0.28,-0.24,-0.2,26.81,22.82,18.82,147.91,164.51,184.85,19.93,23.92,21.44,29.75,29.75,27.45,967.31,959.11,950.9,940.49,936.29,932.08,368.17,376.07,383.97,128.4,130.96,132.09,-0.31,0.02,0.37,29.93,-1.99,-33.92,191.62,186.6,183.56,16.33,24.05,24.39,29.61,29.61,28.52,970.88,932.02,893.15,940.95,934.01,934.01,379.36,393.93,408.51,134.14,136.41,138.77,0.0,1.33
29,169,0.29,0.94,1.53,-30.3,-104.82,-179.34,234.68,262.56,284.39,17.48,18.4,19.18,30.05,30.05,29.69,1030.18,1012.78,995.37,1060.49,1117.6,1174.71,447.81,499.53,551.26,164.89,171.12,171.52,-0.37,-0.26,-0.14,42.81,29.74,16.68,195.23,182.8,182.04,24.2,21.49,15.77,30.96,32.11,32.11,1166.28,1165.13,1163.98,1123.48,1135.39,1147.3,444.2,472.01,499.81,171.83,183.09,206.82,0.86,1.16,1.45,-100.01,-131.94,-163.86,211.3,198.2,186.27,28.35,29.0,21.45,28.82,30.53,30.53,1033.9,1000.2,966.51,1133.91,1132.14,1132.14,482.97,505.63,528.28,180.37,188.83,196.19,0.01,0.75
19,151,0.94,0.9,0.86,-89.62,-84.96,-80.3,199.65,184.28,166.97,15.98,18.08,13.41,26.92,26.92,25.57,862.02,858.19,854.36,951.64,943.15,934.66,409.86,403.94,398.01,144.63,130.69,124.92,-1.49,-1.37,-1.26,142.92,130.46,118.0,141.81,128.18,94.55,9.33,8.06,4.22,28.7,28.7,26.33,961.15,949.6,938.06,818.22,819.14,820.06,285.9,283.23,280.57,129.99,123.86,102.23,-1.48,-0.95,-0.38,138.23,85.45,32.67,149.77,138.73,110.42,9.23,10.53,6.4,27.86,27.86,26.42,935.03,896.16,857.29,796.8,810.7,810.7,281.33,296.42,311.52,123.52,120.17,116.48,0.0,0.35
