STATEFP,COUNTYFP,Ecmi_00_19,Ecmi_80_19,Ecmi_80_99,Edef_00_19,Edef_80_19,Edef_80_99,Edry_00_19,Edry_80_19,Edry_80_99,Egw_00_19,Egw_80_19,Egw_80_99,Eht_00_19,Eht_80_19,Eht_80_99,Ewet_00_19,Ewet_80_19,Ewet_80_99,Mcmi_00_19,Mcmi_80_19,Mcmi_80_99,Mdef_00_19,Mdef_80_19,Mdef_80_99,Mdry_00_19,Mdry_80_19,Mdry_80_99,Mgw_00_19,Mgw_80_19,Mgw_80_99,Mht_00_19,Mht_80_19,Mht_80_99,Mwet_00_19,Mwet_80_19,Mwet_80_99,Ncmi_00_19,Ncmi_80_19,Ncmi_80_99,Ndef_00_19,Ndef_80_19,Ndef_80_99,Ndry_00_19,Ndry_80_19,Ndry_80_99,Ngw_00_19,Ngw_80_19,Ngw_80_99,Nht_00_19,Nht_80_19,Nht_80_99,Nwet_00_19,Nwet_80_19,Nwet_80_99,WS_ERA2015,WS_EQI
29,227,0.58,0.61,0.64,0.47,0.47,0.46,0.16,0.15,0.14,0.25,0.28,0.31,0.63,0.63,0.64,0.22,0.27,0.31,0.46,0.47,0.48,0.5,0.51,0.51,0.1,0.1,0.09,0.16,0.15,0.14,0.65,0.65,0.66,0.23,0.25,0.25,0.51,0.52,0.52,0.5,0.52,0.56,0.13,0.12,0.09,0.24,0.22,0.22,0.71,0.71,0.73,0.23,0.21,0.21,0.0,0.64672
31,061,0.34,0.36,0.38,0.61,0.61,0.6,0.07,0.07,0.08,0.09,0.15,0.19,0.62,0.62,0.65,0.17,0.18,0.2,0.28,0.27,0.27,0.62,0.63,0.64,0.04,0.04,0.04,0.04,0.05,0.05,0.66,0.66,0.63,0.15,0.13,0.11,0.31,0.3,0.3,0.63,0.65,0.68,0.05,0.05,0.04,0.08,0.09,0.09,0.74,0.74,0.77,0.13,0.12,0.11,0.00106,0.62108
36,013,0.92,0.92,0.91,0.22,0.23,0.25,0.56,0.55,0.54,0.94,0.9,0.87,0.41,0.41,0.44,0.3,0.29,0.28,0.81,0.79,0.78,0.34,0.36,0.38,0.3,0.26,0.25,0.55,0.47,0.44,0.39,0.39,0.33,0.2,0.21,0.2,0.74,0.75,0.76,0.38,0.41,0.44,0.3,0.31,0.28,0.49,0.53,0.56,0.46,0.46,0.46,0.21,0.19,0.19,0.00032,0.02564
37,181,0.6,0.61,0.61,0.46,0.47,0.48,0.18,0.22,0.24,0.39,0.36,0.33,0.6,0.6,0.62,0.21,0.24,0.26,0.52,0.51,0.51,0.48,0.49,0.5,0.2,0.2,0.2,0.42,0.34,0.29,0.58,0.59,0.62,0.25,0.25,0.25,0.58,0.58,0.59,0.46,0.49,0.52,0.21,0.22,0.19,0.48,0.42,0.37,0.61,0.62,0.66,0.22,0.2,0.19,0.00013,0.66097
47,183,0.66,0.66,0.67,0.41,0.42,0.43,0.27,0.3,0.32,0.24,0.25,0.27,0.7,0.7,0.7,0.33,0.35,0.35,0.62,0.61,0.61,0.42,0.43,0.44,0.25,0.26,0.27,0.25,0.19,0.16,0.69,0.69,0.66,0.35,0.39,0.4,0.63,0.66,0.68,0.42,0.44,0.47,0.25,0.28,0.25,0.38,0.32,0.28,0.74,0.74,0.69,0.32,0.3,0.3,3e-05,0.38746
44,003,0.76,0.74,0.72,0.36,0.39,0.41,0.33,0.33,0.32,0.42,0.37,0.31,0.46,0.46,0.49,0.3,0.28,0.25,0.68,0.68,0.68,0.38,0.39,0.4,0.28,0.3,0.36,0.41,0.35,0.33,0.37,0.39,0.41,0.32,0.32,0.33,0.75,0.74,0.73,0.36,0.4,0.45,0.35,0.36,0.33,0.45,0.39,0.35,0.44,0.44,0.46,0.28,0.29,0.27,5e-05,0.76638
08,101,0.14,0.18,0.21,0.78,0.75,0.73,0.01,0.02,0.04,0.02,0.04,0.05,0.63,0.63,0.61,0.03,0.05,0.06,0.13,0.14,0.14,0.74,0.73,0.73,0.01,0.01,0.01,0.01,0.02,0.02,0.58,0.58,0.59,0.03,0.02,0.02,0.14,0.14,0.15,0.75,0.75,0.76,0.0,0.01,0.01,0.01,0.02,0.02,0.69,0.69,0.7,0.03,0.03,0.02,0.00195,0.64387
17,175,0.63,0.64,0.65,0.45,0.45,0.46,0.18,0.19,0.21,0.33,0.44,0.52,0.6,0.6,0.58,0.24,0.23,0.25,0.52,0.52,0.52,0.47,0.48,0.5,0.11,0.12,0.14,0.37,0.37,0.33,0.64,0.64,0.55,0.24,0.24,0.24,0.53,0.54,0.56,0.49,0.51,0.54,0.15,0.14,0.12,0.35,0.47,0.46,0.65,0.65,0.65,0.23,0.21,0.19,1e-05,0.79487
29,169,0.57,0.61,0.64,0.48,0.47,0.46,0.18,0.2,0.22,0.28,0.3,0.31,0.68,0.68,0.7,0.29,0.29,0.27,0.52,0.52,0.52,0.48,0.49,0.49,0.15,0.14,0.14,0.44,0.34,0.24,0.7,0.75,0.78,0.33,0.34,0.38,0.6,0.61,0.62,0.45,0.48,0.5,0.17,0.15,0.12,0.61,0.57,0.4,0.62,0.69,0.74,0.32,0.29,0.28,3e-05,0.62963
19,151,0.61,0.6,0.6,0.46,0.47,0.49,0.15,0.14,0.13,0.26,0.29,0.22,0.55,0.55,0.53,0.25,0.21,0.19,0.45,0.46,0.46,0.5,0.51,0.52,0.11,0.1,0.07,0.17,0.13,0.06,0.59,0.59,0.5,0.25,0.23,0.18,0.46,0.49,0.52,0.52,0.54,0.56,0.12,0.11,0.07,0.2,0.21,0.12,0.58,0.58,0.56,0.21,0.18,0.16,2e-05,0.51567
22,039,0.59,0.6,0.61,0.46,0.47,0.47,0.23,0.24,0.24,0.51,0.43,0.35,0.73,0.73,0.72,0.39,0.35,0.33,0.59,0.61,0.63,0.42,0.42,0.41,0.28,0.29,0.3,0.6,0.46,0.37,0.72,0.72,0.72,0.51,0.5,0.51,0.65,0.67,0.7,0.4,0.41,0.43,0.31,0.32,0.31,0.75,0.73,0.67,0.73,0.73,0.7,0.51,0.43,0.38,0.00125,0.00855
28,049,0.59,0.59,0.6,0.46,0.47,0.48,0.26,0.25,0.24,0.32,0.38,0.25,0.69,0.69,0.7,0.32,0.31,0.3,0.58,0.59,0.6,0.44,0.44,0.44,0.26,0.26,0.27,0.48,0.32,0.19,0.76,0.76,0.75,0.39,0.42,0.42,0.62,0.65,0.67,0.42,0.44,0.46,0.31,0.3,0.25,0.64,0.47,0.34,0.72,0.72,0.69,0.32,0.31,0.32,0.00021,0.0114
28,081,0.65,0.65,0.66,0.42,0.43,0.44,0.27,0.27,0.29,0.31,0.33,0.34,0.67,0.67,0.7,0.37,0.37,0.37,0.61,0.61,0.61,0.41,0.42,0.43,0.31,0.31,0.29,0.33,0.24,0.21,0.71,0.71,0.72,0.37,0.45,0.52,0.68,0.69,0.7,0.38,0.41,0.44,0.29,0.28,0.26,0.66,0.52,0.4,0.72,0.72,0.68,0.34,0.36,0.37,3e-05,0.0114
29,117,0.58,0.62,0.66,0.47,0.46,0.45,0.18,0.18,0.14,0.34,0.38,0.41,0.65,0.65,0.69,0.23,0.27,0.3,0.5,0.51,0.51,0.48,0.49,0.5,0.12,0.12,0.11,0.24,0.22,0.23,0.68,0.68,0.7,0.26,0.27,0.32,0.53,0.55,0.56,0.49,0.51,0.54,0.15,0.15,0.12,0.36,0.35,0.33,0.73,0.74,0.78,0.25,0.24,0.24,2e-05,0.62393
21,083,0.67,0.68,0.68,0.41,0.42,0.42,0.28,0.3,0.32,0.24,0.3,0.35,0.68,0.68,0.68,0.34,0.32,0.3,0.62,0.6,0.59,0.42,0.44,0.45,0.24,0.24,0.25,0.24,0.2,0.19,0.66,0.66,0.64,0.39,0.38,0.36,0.65,0.65,0.66,0.42,0.44,0.48,0.24,0.26,0.23,0.37,0.33,0.31,0.7,0.7,0.67,0.3,0.28,0.29,5e-05,0.78348
28,037,0.57,0.58,0.59,0.47,0.48,0.48,0.22,0.23,0.24,0.36,0.4,0.36,0.7,0.7,0.71,0.32,0.31,0.29,0.54,0.57,0.6,0.46,0.45,0.44,0.27,0.27,0.27,0.5,0.37,0.26,0.73,0.73,0.72,0.39,0.44,0.48,0.65,0.68,0.71,0.4,0.41,0.42,0.36,0.33,0.26,0.66,0.66,0.56,0.7,0.7,0.7,0.37,0.35,0.35,1e-05,0.0057
40,049,0.38,0.42,0.46,0.6,0.58,0.57,0.09,0.1,0.17,0.08,0.1,0.11,0.83,0.83,0.81,0.25,0.24,0.23,0.34,0.36,0.38,0.59,0.58,0.58,0.08,0.09,0.13,0.21,0.15,0.11,0.88,0.88,0.84,0.27,0.28,0.28,0.37,0.39,0.42,0.6,0.61,0.62,0.11,0.11,0.11,0.23,0.19,0.15,0.87,0.87,0.88,0.26,0.22,0.2,2e-05,0.27635
47,083,0.71,0.71,0.71,0.39,0.4,0.4,0.31,0.33,0.33,0.25,0.32,0.3,0.68,0.68,0.67,0.32,0.33,0.34,0.62,0.62,0.61,0.41,0.43,0.44,0.28,0.28,0.28,0.28,0.2,0.17,0.7,0.7,0.64,0.36,0.39,0.41,0.65,0.67,0.68,0.41,0.44,0.46,0.28,0.28,0.25,0.42,0.38,0.31,0.74,0.74,0.65,0.29,0.29,0.29,2e-05,0.01425
48,189,0.16,0.18,0.2,0.79,0.77,0.76,0.01,0.02,0.03,0.03,0.04,0.05,0.69,0.69,0.67,0.11,0.1,0.08,0.14,0.15,0.16,0.76,0.76,0.76,0.01,0.01,0.02,0.03,0.03,0.02,0.71,0.71,0.7,0.09,0.08,0.07,0.15,0.16,0.17,0.8,0.8,0.8,0.01,0.01,0.01,0.04,0.04,0.02,0.74,0.74,0.76,0.07,0.06,0.05,0.00187,0.62393
51,830,0.71,0.69,0.67,0.39,0.42,0.44,0.25,0.26,0.27,0.46,0.44,0.3,0.57,0.57,0.61,0.28,0.26,0.26,0.57,0.56,0.54,0.44,0.46,0.49,0.2,0.22,0.23,0.45,0.33,0.2,0.57,0.57,0.59,0.29,0.28,0.26,0.63,0.61,0.59,0.43,0.48,0.52,0.2,0.21,0.19,0.48,0.43,0.27,0.58,0.58,0.6,0.24,0.2,0.18,6e-05,0.01425
51,595,0.63,0.62,0.62,0.44,0.46,0.47,0.2,0.22,0.24,0.39,0.39,0.31,0.58,0.58,0.61,0.24,0.26,0.26,0.5,0.49,0.48,0.49,0.5,0.52,0.18,0.18,0.19,0.38,0.3,0.21,0.57,0.57,0.6,0.24,0.24,0.26,0.58,0.58,0.57,0.46,0.49,0.53,0.22,0.2,0.18,0.47,0.41,0.36,0.61,0.63,0.67,0.22,0.2,0.19,0.00035,0.01425
51,169,0.74,0.74,0.75,0.36,0.36,0.37,0.32,0.35,0.36,0.48,0.57,0.59,0.46,0.47,0.52,0.3,0.27,0.25,0.57,0.56,0.56,0.45,0.46,0.47,0.2,0.22,0.24,0.28,0.24,0.25,0.48,0.48,0.49,0.25,0.25,0.25,0.65,0.68,0.7,0.42,0.44,0.47,0.2,0.24,0.24,0.41,0.42,0.36,0.57,0.57,0.53,0.23,0.22,0.21,1e-05,0.30484
55,069,0.65,0.67,0.68,0.44,0.44,0.45,0.18,0.2,0.21,0.31,0.35,0.29,0.38,0.38,0.39,0.19,0.2,0.21,0.62,0.61,0.61,0.43,0.44,0.46,0.17,0.17,0.15,0.33,0.31,0.22,0.36,0.36,0.36,0.19,0.2,0.2,0.64,0.64,0.64,0.44,0.47,0.51,0.19,0.17,0.12,0.39,0.34,0.19,0.46,0.46,0.44,0.16,0.16,0.18,8e-05,0.57835
35,043,0.15,0.18,0.22,0.75,0.73,0.71,0.02,0.02,0.03,0.0,0.01,0.02,0.6,0.6,0.58,0.06,0.07,0.07,0.1,0.1,0.11,0.76,0.75,0.75,0.01,0.01,0.01,0.0,0.0,0.0,0.53,0.53,0.48,0.04,0.03,0.03,0.14,0.16,0.18,0.71,0.72,0.73,0.02,0.02,0.02,0.0,0.01,0.02,0.6,0.6,0.63,0.05,0.04,0.03,0.00032,0.61254
27,065,0.66,0.66,0.67,0.44,0.45,0.46,0.18,0.17,0.16,0.26,0.27,0.21,0.46,0.46,0.47,0.21,0.19,0.17,0.49,0.5,0.51,0.48,0.49,0.5,0.09,0.11,0.11,0.2,0.2,0.15,0.46,0.46,0.42,0.17,0.17,0.16,0.55,0.54,0.53,0.48,0.51,0.55,0.14,0.12,0.09,0.26,0.25,0.16,0.45,0.49,0.53,0.17,0.15,0.14,2e-05,0.74644
13,321,0.44,0.46,0.49,0.56,0.56,0.55,0.14,0.14,0.15,0.17,0.13,0.1,0.68,0.68,0.7,0.26,0.27,0.28,0.51,0.51,0.52,0.48,0.49,0.5,0.2,0.2,0.19,0.28,0.22,0.2,0.67,0.68,0.7,0.41,0.36,0.32,0.55,0.58,0.6,0.48,0.49,0.51,0.22,0.21,0.18,0.27,0.31,0.3,0.69,0.7,0.74,0.31,0.27,0.25,0.00027,0.2963
