STATEFP,COUNTYFP,PercentPopulationUnder18,PercentPopulationOver65,PercentNonwhite,PercentofPopulationBelowPovertyLevel,UnemploymentRate
01,001,0.59,0.21,0.24,0.23,0.11
01,003,0.52,0.3,0.14,0.19,0.11
01,005,0.5,0.27,0.56,0.44,0.17
01,007,0.49,0.23,0.24,0.23,0.13
01,009,0.56,0.27,0.05,0.27,0.11
01,011,0.49,0.23,0.81,0.51,0.16
01,013,0.54,0.29,0.5,0.44,0.16
01,015,0.52,0.25,0.27,0.32,0.15
01,017,0.51,0.3,0.44,0.33,0.12
01,019,0.47,0.34,0.07,0.27,0.12
01,021,0.58,0.23,0.17,0.34,0.11
01,023,0.48,0.35,0.45,0.4,0.22
01,025,0.53,0.29,0.49,0.46,0.27
01,027,0.5,0.31,0.18,0.33,0.12
01,029,0.55,0.29,0.06,0.33,0.13
01,031,0.57,0.24,0.25,0.28,0.12
01,033,0.51,0.3,0.21,0.29,0.16
01,035,0.52,0.34,0.51,0.49,0.18
01,037,0.4,0.34,0.36,0.23,0.12
01,039,0.52,0.33,0.16,0.3,0.15
01,041,0.54,0.28,0.3,0.3,0.11
01,043,0.53,0.28,0.05,0.28,0.1
01,045,0.56,0.24,0.28,0.34,0.13
01,047,0.59,0.25,0.75,0.59,0.26
01,049,0.59,0.24,0.14,0.38,0.11
01,051,0.54,0.21,0.26,0.21,0.1
01,053,0.53,0.26,0.4,0.4,0.15
01,055,0.52,0.28,0.2,0.31,0.14
01,057,0.51,0.32,0.15,0.31,0.13
01,059,0.59,0.25,0.15,0.42,0.11
01,061,0.53,0.3,0.14,0.4,0.12
01,063,0.56,0.31,0.86,0.74,0.26
01,065,0.55,0.28,0.63,0.48,0.17
01,067,0.49,0.34,0.3,0.23,0.16
01,069,0.56,0.25,0.32,0.32,0.12
01,071,0.51,0.3,0.09,0.33,0.14
01,073,0.55,0.22,0.5,0.3,0.12
01,075,0.52,0.34,0.13,0.42,0.13
01,077,0.47,0.3,0.14,0.27,0.14
01,079,0.51,0.26,0.23,0.29,0.13
01,081,0.51,0.14,0.31,0.38,0.11
01,083,0.55,0.21,0.19,0.24,0.1
01,085,0.55,0.27,0.78,0.56,0.27
01,087,0.42,0.28,0.88,0.41,0.19
01,089,0.53,0.2,0.33,0.22,0.1
01,091,0.55,0.3,0.57,0.47,0.15
01,093,0.5,0.33,0.07,0.3,0.15
01,095,0.6,0.26,0.08,0.37,0.1
01,097,0.57,0.22,0.42,0.34,0.16
01,099,0.56,0.3,0.47,0.63,0.23
01,101,0.57,0.2,0.66,0.36,0.13
01,103,0.55,0.25,0.2,0.28,0.1
01,105,0.53,0.29,0.73,0.73,0.24
01,107,0.49,0.28,0.46,0.39,0.15
01,109,0.46,0.21,0.45,0.46,0.14
01,111,0.52,0.32,0.24,0.32,0.12
01,113,0.6,0.18,0.52,0.37,0.12
01,115,0.58,0.2,0.2,0.12,0.11
01,117,0.55,0.23,0.13,0.22,0.08
01,119,0.46,0.25,0.78,0.64,0.2
01,121,0.52,0.25,0.37,0.33,0.15
01,123,0.5,0.32,0.31,0.38,0.12
01,125,0.49,0.17,0.37,0.29,0.11
01,127,0.53,0.29,0.09,0.38,0.14
01,129,0.54,0.27,0.36,0.4,0.21
01,131,0.59,0.28,0.76,0.58,0.34
01,133,0.49,0.33,0.04,0.33,0.14
02,013,0.29,0.09,0.86,0.29,0.11
02,016,0.39,0.04,0.73,0.1,0.16
02,020,0.59,0.11,0.38,0.11,0.24
02,050,0.88,0.07,0.93,0.49,0.66
02,060,0.54,0.12,0.5,0.09,0.29
02,068,0.31,0.08,0.18,0.26,0.42
02,070,0.76,0.09,0.86,0.29,0.4
02,090,0.58,0.1,0.25,0.1,0.25
02,100,0.46,0.37,0.21,0.12,0.44
02,105,0.37,0.3,0.57,0.18,0.58
02,110,0.52,0.15,0.32,0.1,0.2
02,122,0.55,0.22,0.17,0.17,0.33
02,130,0.53,0.2,0.34,0.16,0.3
02,150,0.63,0.1,0.48,0.14,0.26
02,158,0.99,0.03,1.0,0.75,1.0
02,164,0.68,0.08,0.81,0.28,0.49
02,170,0.66,0.13,0.18,0.15,0.33
02,180,0.85,0.07,0.87,0.44,0.55
02,185,0.62,0.05,0.71,0.15,0.31
02,188,0.86,0.07,0.92,0.46,0.72
02,195,0.53,0.26,0.25,0.11,0.43
02,198,0.57,0.2,0.55,0.27,0.51
02,220,0.53,0.2,0.37,0.14,0.19
02,230,0.29,0.15,0.18,0.06,0.46
02,240,0.65,0.17,0.23,0.23,0.45
02,261,0.56,0.16,0.28,0.1,0.37
02,275,0.45,0.37,0.35,0.19,0.38
02,282,0.52,0.2,0.56,0.08,0.38
02,290,0.68,0.18,0.81,0.46,0.72
04,001,0.69,0.2,0.8,0.67,0.49
04,003,0.53,0.33,0.16,0.29,0.27
04,005,0.51,0.15,0.38,0.34,0.26
04,007,0.48,0.46,0.23,0.39,0.26
04,009,0.66,0.18,0.22,0.33,0.22
04,011,0.68,0.16,0.09,0.18,0.17
04,012,0.38,0.67,0.26,0.35,0.27
04,013,0.6,0.21,0.23,0.27,0.18
04,015,0.42,0.48,0.1,0.32,0.27
04,017,0.67,0.25,0.54,0.53,0.35
04,019,0.51,0.29,0.24,0.31,0.2
04,021,0.57,0.3,0.2,0.25,0.23
04,023,0.68,0.25,0.14,0.39,0.42
04,025,0.39,0.5,0.08,0.25,0.2
04,027,0.62,0.28,0.28,0.34,0.84
05,001,0.54,0.29,0.29,0.37,0.12
05,003,0.55,0.3,0.29,0.38,0.25
05,005,0.4,0.53,0.04,0.2,0.18
05,007,0.65,0.18,0.12,0.16,0.1
05,009,0.54,0.32,0.04,0.27,0.13
05,011,0.56,0.29,0.39,0.48,0.18
05,013,0.45,0.34,0.25,0.34,0.2
05,015,0.53,0.35,0.08,0.27,0.13
05,017,0.53,0.31,0.59,0.51,0.33
05,019,0.45,0.24,0.29,0.33,0.17
05,021,0.52,0.34,0.04,0.4,0.23
05,023,0.45,0.44,0.03,0.26,0.2
05,025,0.54,0.31,0.14,0.34,0.17
05,027,0.5,0.26,0.41,0.42,0.2
05,029,0.55,0.29,0.15,0.33,0.19
05,031,0.6,0.19,0.21,0.31,0.11
05,033,0.6,0.24,0.11,0.29,0.14
05,035,0.67,0.18,0.57,0.42,0.19
05,037,0.58,0.28,0.27,0.31,0.19
05,039,0.55,0.33,0.47,0.19,0.22
05,041,0.62,0.27,0.54,0.61,0.2
05,043,0.52,0.25,0.33,0.42,0.24
05,045,0.56,0.16,0.18,0.27,0.12
05,047,0.56,0.3,0.06,0.39,0.15
05,049,0.48,0.42,0.04,0.41,0.18
05,051,0.48,0.37,0.15,0.33,0.16
05,053,0.55,0.26,0.05,0.24,0.13
05,055,0.58,0.23,0.05,0.27,0.15
05,057,0.63,0.27,0.42,0.46,0.17
05,059,0.49,0.28,0.16,0.25,0.16
05,061,0.63,0.26,0.35,0.37,0.14
05,063,0.57,0.26,0.08,0.32,0.18
05,065,0.42,0.42,0.05,0.29,0.26
05,067,0.47,0.25,0.21,0.37,0.31
05,069,0.54,0.24,0.62,0.41,0.26
05,071,0.59,0.24,0.08,0.4,0.21
