STATEFP,TotalEnergyExpendituremilliondollars,Totalenergyexpenditurepercapitadollarspercapita,TotalResidentialEnergyExpendituremilliondollars,ResidentialEnergyExpenditurepercapitadollarspercapita,TotalTransportationEnergyExpendituremildollars,TransportationEnergyExpenditurepercapitadollars
1,5925.4,8060.3,816,1110.0,3571,4857.62
2,21951.8,4491.2,4720,965.68,9629,1970.03
3,12509.7,4156.4,2427,806.38,5930,1970.27
4,22824.7,3188.7,5140,718.08,11748,1641.24
5,138992.4,3522.2,22860,579.29,77790,1971.27
6,18431.2,3238.5,3672,645.2,9193,1615.28
7,14144.5,3960.4,4932,1380.94,5315,1488.18
8,2145.6,3058.4,502,715.57,398,567.32
9,3733.6,3867.1,926,959.11,1674,1733.86
10,62480.8,2941.1,15133,712.34,32603,1534.69
11,35705.7,3396.9,8995,855.75,16462,1566.13
12,6617.5,4658.3,929,653.96,3515,2474.34
13,15603.0,4955.5,2819,895.31,6361,2020.25
14,6916.9,3951.3,1232,703.78,3728,2129.63
15,44808.1,3521.8,10044,789.43,21260,1670.98
16,30038.1,4486.3,5865,875.96,12852,1919.49
17,12601.3,4328.3,2744,942.51,5520,1896.01
18,19719.9,4420.4,3665,821.54,10168,2279.25
19,35118.6,7536.7,3570,766.15,11222,2408.32
20,26858.7,3902.4,8290,1204.48,10106,1468.34
21,19885.4,3294.6,5329,882.91,9336,1546.78
22,6182.0,4616.7,1864,1392.03,2532,1890.89
23,35987.6,3604.5,9196,921.07,15926,1595.14
24,22236.7,3966.4,4868,868.31,9987,1781.4
25,23587.3,3853.1,5797,946.97,11504,1879.23
26,14394.2,4828.6,2568,861.45,7799,2616.21
27,5077.3,4786.9,965,909.81,2712,2556.89
28,34156.0,3290.1,8436,812.6,16182,1558.74
29,6138.3,8097.2,734,968.24,2702,3564.28
30,9214.6,4785.3,1587,824.16,4524,2349.39
31,5837.2,4312.8,1923,1420.8,2319,1713.39
32,32960.7,3709.3,7521,846.39,16384,1843.81
33,8274.5,3953.9,1312,626.93,4769,2278.83
34,10346.9,3417.8,2057,679.47,5386,1779.11
35,60768.2,3111.5,19001,972.9,23527,1204.65
36,44271.5,3791.6,10366,887.79,19390,1660.64
37,17063.9,4330.7,3276,831.43,8841,2243.78
38,14167.9,3387.9,2768,661.9,7669,1833.85
39,48477.8,3787.1,13201,1031.27,20423,1595.45
40,3900.9,3686.0,1332,1258.62,1368,1292.64
41,20351.4,4002.9,4555,895.92,9820,1931.49
42,4294.8,4887.7,789,897.92,2097,2386.49
43,27093.8,4001.1,5651,834.52,13302,1964.38
44,153011.7,5344.7,20684,722.49,66799,2333.29
45,10284.9,3261.4,1708,541.62,5863,1859.19
46,30612.1,3600.9,7341,863.52,14858,1747.75
47,2843.7,4554.7,961,1539.22,1063,1702.59
48,26321.2,3498.4,4747,630.93,15470,2056.15
49,22698.7,3908.6,4907,844.96,10191,1754.84
50,8767.9,4859.5,1714,949.96,3968,2199.21
51,4996.9,8651.2,526,910.67,2315,4007.99
